text_id,text_kr,text_en,text_vi,text_ms,text_pt,text_es,annotation
1100020,확인,Confirm,sự xác nhận,Pengesahan,confirmação,confirmación,
1100021,한국어,ENGLISH,Tiếng Việt,Bahasa Melayu,Português,Español,
1100022,전세계,Worldwide,Trên toàn thế giới,Worldwide,Mundial,Mundial,
1100023,화면을 탭하면 시작.,Tap to Start.,Nhấn vào màn hình để bắt đầu.,Ketik pada skrin untuk memulakan.,Toque na tela para começar.,Toque la pantalla para comenzar.,
1100024,로그아웃,Logout,Đăng xuất,Log keluar,Saindo,Cierre de sesión,
1100025,화면을 탭 해주세요.,Tap to screen,Vui lòng nhấn vào màn hình.,Sila ketik pada skrin.,"Por favor, toque na tela.",Toque la pantalla.,
1100026,잠시만 기다려주세요.,Please wait…,Hãy chờ.,Sila tunggu.,Aguarde.,Espera.,
1100027,순위 없음,No Rank,Không có thứ hạng,Tiada Kedudukan,Sem classificações,Sin clasificaciones,
1100028,장착,Equip,Gắn,Pelekap,Montagem,Montura,
1100029,{0} of {1},{0} of {1},{0} của {1},{0} daripada {1},{0} de {1},{0} de {1},
1100030,휴식 시간,Break time,Giờ giải lao,Masa rehat,Tempo de pausa,Tiempo de descanso,
1100031,보상,Reward,thưởng,Ganjaran,recompensa,recompensa,
1100032,닉네임을 입력해주세요.(1~6 글자),Please enter your nickname(2~12 letters),Vui lòng nhập biệt hiệu của bạn. (1 ~ 6 ký tự),Sila masukkan nama panggilan anda. (1~6 aksara),"Por favor, digite seu apelido. (1 ~ 6 caracteres)","Por favor, introduzca su apodo. (1~6 caracteres)",
1100033,{0} 분,{0} m,{0} phút,{0} minit,{0} min,{0} minutos,
1100034,+{0}/분,+{0}/m,+{0} / phút,+{0}/min,+{0}/min,+{0}/min,
1100035,정말 로그아웃 하시겠습니까?,Are you sure you want to log out?,Bạn có chắc chắn muốn đăng xuất không?,Adakah anda pasti mahu log keluar?,Tem certeza de que deseja sair?,¿Estás seguro de que quieres cerrar la sesión?,
1100036,획득!,GET!,Mua lại!,Pengambilalihan!,Aquisição!,¡Adquisición!,
1100037,신규 포션!,NEW POTION!,Thuốc mới!,Ramuan Baru!,Nova Poção!,¡Nueva poción!,
2000000,기타,ETC,ghi-ta,Gitar,violão,guitarra,국가명
2000001,세계,Global,thế giới,Dunia,mundo,mundo,
2000002,가나,Ghana,Ghana,Ghana,Gana,Ghana,
2000003,가봉,Gabon,Gabon,Gabon,Gabão,Gabón,
2000004,가이아나,Guyana,Guyana,Guyana,Guiana,Guyana,
2000005,감비아,Gambia,Gambia,Gambia,Gâmbia,Gambia,
2000006,건지섬,Guernsey,Guernsey,Guernsey,Guernsey,Guernsey,
2000007,과들루프,Guadeloupe,Guadeloupe,Guadeloupe,Guadalupe,Guadalupe,
2000008,과테말라,Guatemala,Guatemala,Guatemala,Guatemala,Guatemala,
2000009,괌,Guam,Guam,Guam,Guam,Guam,
2000010,그레나다,Grenada,Grenada,Grenada,Granada,Granada,
2000011,그리스,Greece,Hy Lạp,Yunani,Grécia,Grecia,
2000012,그린란드,Greenland,Greenland,Greenland,Gronelândia,Groenlandia,
2000013,기니,Guinea,Guinea,Guinea,Guiné,Guinea,
2000014,기니비사우,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guiné-Bissau,Guinea-Bissau,
2000015,나미비아,Namibia,Namibia,Namibia,Namíbia,Namibia,
2000016,나우루,Nauru,Nauru,Nauru,Nauru,Nauru,
2000017,나이지리아,Nigeria,Nigeria,Nigeria,Nigéria,Nigeria,
2000018,남극,Antarctica,Nam Cực,Antartika,antártico,antártico,
2000019,남수단,South Sudan,Nam Sudan,Sudan Selatan,Sudão do Sul,Sudán del Sur,
2000020,남아프리카 공화국,South Africa,Nam Phi,Afrika Selatan,África do Sul,Sudáfrica,
2000021,네덜란드,Netherlands,Hà Lan,Belanda,Países Baixos,Países Bajos,
2000022,네팔,Nepal,Nepal,Nepal,Nepal,Nepal,
2000023,노르웨이,Norway,Na Uy,Norway,Noruega,Noruega,
2000024,노퍽섬,Norfolk Island,Đảo Norfolk,Pulau Norfolk,Ilha Norfolk,Isla Norfolk,
2000025,누벨칼레도니,New Caledonia,Nouvelle-Calédonie,Kaledonia Baru,Nova Caledónia,Nueva Caledonia,
2000026,뉴질랜드,New Zealand,New Zealand,New Zealand,Nova Zelândia,Nueva Zelanda,
2000027,니우에,Niue,Niue,Niue,Niue,Niue,
2000028,니제르,Niger,Niger,Niger,Níger,Níger,
2000029,니카라과,Nicaragua,Nicaragua,Nicaragua,Nicarágua,Nicaragua,
2000030,대한민국,South Korea,Đại Hàn Dân Quốc,Republik Korea,República da Coreia,República de Corea,
2000031,덴마크,Denmark,Đan Mạch,Denmark,Dinamarca,Dinamarca,
2000032,도미니카 공화국,Dominican Republic,Cộng hòa Dominica,Republik Dominika,República Dominicana,República Dominicana,
2000033,도미니카 연방,Dominica,Dominica,Dominika,Domínica,Dominica,
2000034,동티모르,Timor-Leste,Đông Timor,Timor Leste,Timor-Leste,Timor Oriental,
2000035,독일,Germany,Đức,Jerman,Alemanha,Alemania,
2000036,라오스,Laos,Lào,Laos,Laos,Laos,
2000037,라이베리아,Liberia,Liberia,Liberia,Libéria,Liberia,
2000038,라트비아,Latvia,Latvia,Latvia,Letônia,Letonia,
2000039,러시아,Russia,Nga,Rusia,Rússia,Rusia,
2000040,레바논,Lebanon,Li-băng,Lubnan,Líbano,Líbano,
2000041,레소토,Lesotho,Lesotho,Lesotho,Lesoto,Lesotho,
2000042,레위니옹,Reunion,Reunion,Perjumpaan,Reunião,Reunión,
2000043,루마니아,Romania,Romania,Romania,Romênia,Rumania,
2000044,룩셈부르크,Luxembourg,Luxembourg,Luxembourg,Luxemburgo,Luxemburgo,
2000045,르완다,Rwanda,Rwanda,Rwanda,Ruanda,Ruanda,
2000046,리비아,Libya,Libya,Libya,Líbia,Libia,
2000047,리투아니아,Lithuania,Litva,Lithuania,Lituânia,Lituania,
2000048,리히텐슈타인,Lichtenstein,Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein,
2000049,마다가스카르,Madagascar,Madagascar,Madagascar,Madagáscar,Madagascar,
2000050,마르티니크,Martinique,Martinique,Martinik,Martinica,Martinica,
2000051,마셜 제도,Marshall Islands,Quần đảo Marshall,Kepulauan Marshall,Ilhas Marshall,Islas Marshall,
2000052,마요트,Mayotte,Mayotte,Mayotte,Mayotte,Mayotte,
2000053,마카오,Macao,Ma Cao,Macau,Macau,Macao,
2000054,말라위,Malawi,Malawi,Malawi,Malawi,Malawi,
2000055,말레이시아,Malaysia,Malaysia,Malaysia,Malásia,Malasia,
2000056,말리,Mali,Mali,Mali,Mali,Malí,
2000057,맨섬,Isle of Man,Đảo Man,Pulau Man,Ilha de Man,Isla de Man,
2000058,멕시코,Mexico,Mexico,Mexico,México,México,
2000059,모나코,Monaco,Công quốc Monaco,Kerajaan Monaco,Principado de Mônaco,Principado de Mónaco,
2000060,모로코,Morocco,Maroc,Maghribi,Marrocos,Marruecos,
2000061,모리셔스,Mauritius,Mauritius,Mauritius,Maurícia,Mauricio,
2000062,모리타니,Mauritania,Mauritanie,Mauritania,Mauritânia,Mauritania,
2000063,모잠비크,Mozambique,Mozambique,Mozambique,Moçambique,Mozambique,
2000064,몬테네그로,Montenegro,Montenegro,Montenegro,Montenegro,Montenegro,
2000065,몬트세랫,Montserrat,Montserrat,Montserrat,Montserrat,Montserrat,
2000066,몰도바,Moldova,Moldova,Moldova,Moldávia,Moldavia,
2000067,몰디브,Maldives,Maldives,Maldives,Maldivas,Maldivas,
2000068,몰타,Malta,Malta,Malta,Malta,Malta,
2000069,몽골,Mongolia,Mông Cổ,Mongolia,Mongólia,Mongolia,
2000070,미국,United States,Hoa Kỳ,Amerika Syarikat,Estados Unidos,Estados Unidos,
2000071,미국령 군소 제도,US Minor Outlying Islands,Quần đảo Tiểu Hoa Kỳ,Kepulauan Kecil A.S.,Ilhas Menores dos EUA,Islas menores de EE. UU.,
2000072,미국령 버진아일랜드,US Virgin Islands,Quần đảo Virgin thuộc Hoa Kỳ,Kepulauan Virgin AS,Ilhas Virgens Americanas,Islas Vírgenes de EE. UU.,
2000073,미얀마,Myanmar,Myanma,Myanmar,Myanmar,Myanmar,
2000074,미크로네시아 연방,Federated States of Micronesia,Liên bang Micronesia,Negara Bersekutu Mikronesia,Estados Federados da Micronésia,Estados Federados de Micronesia,
2000075,바누아투,Vanuatu,Vanuatu,Vanuatu,Vanuatu,Vanuatu,
2000076,바레인,Bahrain,Bahrain,Bahrain,Bahrein,Bahrein,
2000077,바베이도스,Barbados,Barbados,Barbados,Barbados,Barbados,
2000078,바티칸 시국,Vatican City,Thành Vatican,Bandar Vatikan,Cidade do Vaticano,Ciudad del Vaticano,
2000079,바하마,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,
2000080,방글라데시,Bangladesh,Bangladesh,Bangladesh,Bangladesh,Bangladesh,
2000081,버뮤다,Bermuda,Bermuda,Bermuda,Bermudas,Bermudas,
2000082,베냉,Benin,Bénin,Benin,Benim,Benin,
2000083,베네수엘라,Venezuela,Venezuela,Venezuela,Venezuela,Venezuela,
2000084,베트남,Vietnam,Việt Nam,Vietnam,Vietname,Vietnam,
2000085,벨기에,Belgium,Bỉ,Belgium,Bélgica,Bélgica,
2000086,벨라루스,Belarus,Belarus,Belarus,Belarus,Bielorrusia,
2000087,벨리즈,Belize,Belize,Belize,Belize,Belice,
2000088,보네르섬,Bonaire Island,Bonaire,Bonaire,Bonaire,Bonaire,
2000089,보스니아 헤르체고비나,Bosnia and Herzegovina,Bosna và Hercegovina,Bosnia dan Herzegovina,Bósnia e Herzegovina,Bosnia-Herzegovina,
2000090,보츠와나,Botswana,Botswana,Botswana,Botsuana,Botswana,
2000091,볼리비아,Bolivia,Bolivia,Bolivia,Bolívia,Bolivia,
2000092,부룬디,Burundi,Burundi,Burundi,Burundi,Burundi,
2000093,부르키나파소,Burkina Faso,Burkina Faso,Burkina Faso,Burquina Faso,Burkina Faso,
2000094,부베섬,Bouvet Island,Đảo Bouvet,Pulau Bouvet,Ilha Bouvet,Isla Bouvet,
2000095,부탄,Bhutan,Bhutan,Bhutan,Butão,Bhután,
2000096,북마리아나 제도,Northern Mariana Islands,Quần đảo Bắc Mariana,Kepulauan Mariana Utara,Ilhas Marianas do Norte,Islas Marianas del Norte,
2000097,북마케도니아,Macedonia,Bắc Macedonia,Macedonia Utara,Macedónia do Norte,Macedonia del Norte,
2000098,불가리아,Bulgaria,Bulgaria,Bulgaria,Bulgária,Bulgaria,
2000099,브라질,Brazil,Brasil,Brazil,Brasil,Brasil,
2000100,브루나이,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam,
2000101,사모아,Samoa,Samoa,Samoa,Samoa,Samoa,
2000102,사우디아라비아,Saudi Arabia,Ả Rập Xê Út,Arab Saudi,Arábia Saudita,Arabia Saudí,
2000103,사우스조지아 사우스샌드위치 제도,South Georgia and the South Sandwich Islands,Quần đảo Nam Georgia và Nam Sandwich,Georgia Selatan dan Kepulauan Sandwich Selatan,Ilhas Geórgia do Sul e Sandwich do Sul,Islas Georgias del Sur y Sandwich del Sur,
2000104,산마리노,San Marino,San Marino,San Marino,San Marino,San Marino,
2000105,상투메 프린시페,Sao Tome and Principe,São Tomé và Príncipe,São Tomé dan Príncipe,São Tomé e Príncipe,Santo Tomé y Príncipe,
2000106,생마르탱,Saint Martin,Saint-Martin,Saint-Martin,Saint-Martin,San Martín,
2000107,생바르텔레미,Saint Barthelemy,Thánh Barthelemy,St. Barthelemy,São Bartolomeu,San Bartolomé,
2000108,생피에르 미클롱,Saint Pierre and Miquelon,Saint-Pierre-Miquelon,Saint-Pierre-Miquelon,Saint-Pierre-Miquelon,San Pedro Miquelón,
2000109,서사하라,Western Sahara,Tây Sahara,Sahara Barat,Saara Ocidental,Sáhara Occidental,
2000110,세네갈,Senegal,Sénégal,Senegal,Senegal,Senegal,
2000111,세르비아,Serbia,Serbia,Serbia,Sérvia e Montenegro,Serbia,
2000112,세이셸,Seychelles,Seychelles,Seychelles,Seicheles,Seychelles,
2000113,세인트루시아,Saint Lucia,Saint Lucia,Saint Lucia,Santa Lúcia,Santa Lucía,
2000114,세인트빈센트 그레나딘,Saint Vincent and the Grenadines,Saint Vincent và Grenadines,Saint Vincent dan Grenadines,São Vicente e Granadinas,San Vicente y las Granadinas,
2000115,세인트키츠 네비스,Saint Kitts and Nevis,Saint Kitts và Nevis,Saint Kitts dan Nevis,São Cristóvão e Nevis,San Cristóbal y Nieves,
2000116,세인트헬레나,Saint Helena,Thánh Helena,Saint Helena,Santa Helena,Santa Elena,
2000117,소말리아,Somalia,Somalia,Somalia,Somália,Somalia,
2000118,솔로몬 제도,Solomon Islands,Quần đảo Solomon,Kepulauan Solomon,Ilhas Salomão,Islas Salomón,
2000119,수단,Sudan,Sudan,Sudan,Sudão,Sudán,
2000120,수리남,Suriname,Suriname,Suriname,Suriname,Suriname,
2000121,스리랑카,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka,
2000122,스발바르 얀마옌 제도,Svalbard and Jan Mayen,Svalbard và Jan Mayen,Svalbard dan Jan Mayen,Svalbard e Jan Mayen,Svalbard y Jan Mayen,
2000123,스웨덴,Sweden,Thụy Điển,Sweden,Suécia,Suecia,
2000124,스위스,Switzerland,Thụy Sĩ,Switzerland,Suíça,Suiza,
2000125,스페인,Spain,Tây Ban Nha,Sepanyol,Espanha,España,
2000126,슬로바키아,Slovakia,Slovakia,Slovakia,Eslováquia,Eslovaquia,
2000127,슬로베니아,Slovenia,Slovenia,Slovenia,Eslovênia,Eslovenia,
2000128,시리아,Syria,Syria,Syria,Síria,Siria,
2000129,시에라리온,Sierra Leone,Sierra Leone,Sierra Leone,Serra Leoa,Sierra Leona,
2000130,신트마르턴,Sint Maarten,Sint Maarten,Sint Maarten,São Martinho,Sint Maarten,
2000131,싱가포르,Singapore,Singapore,Singapura,Cingapura,Singapur,
2000132,아랍에미리트,United Arab Emirates,UAE,UAE,EAU,UAE,
2000133,아루바,Aruba,Aruba,Aruba,Aruba,Aruba,
2000134,아르메니아,Armenia,Armenia,Armenia,Armênia,Armenia,
2000135,아르헨티나,Argentina,Argentina,Argentina,Argentina,Argentina,
2000136,아메리칸사모아,American Samoa,Samoa thuộc Mỹ,Samoa Amerika,Samoa Americana,Samoa Americana,
2000137,아이슬란드,Iceland,Iceland,Iceland,Islândia,Islandia,
2000138,아이티,Haiti,Haiti,Haiti,Haiti,Haití,
2000139,아일랜드,Ireland,Ireland,Ireland,Irlanda,Irlanda,
2000140,아제르바이잔,Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijão,Azerbaiyán,
2000141,아프가니스탄,Afghanistan,Afghanistan,Afghanistan,Afeganistão,Afganistán,
2000142,안도라,Andorra,Andorra,Andorra,Andorra,Andorra,
2000143,알바니아,Albania,Albania,Albania,Albânia,Albania,
2000144,알제리,Algeria,Algérie,Algeria,Argélia,Argelia,
2000145,앙골라,Angola,Angola,Angola,Angola,Angola,
2000146,앤티가 바부다,Antigua and Barbuda,Antigua và Barbuda,Antigua dan Barbuda,Antígua e Barbuda,Antigua y Barbuda,
2000147,앵귈라,Anguilla,Anguilla,Anguilla,Anguilla,Anguila,
2000148,에리트레아,Eritrea,Eritrea,Eritrea,Eritreia,Eritrea,
2000149,에스와티니,Eswatini,Tiếng Eswatini,Eswatini,Essuatíni,Esuatini,
2000150,에스토니아,Estonia,Estonia,Estonia,Estônia,Estonia,
2000151,에콰도르,Ecuador,Ecuador,Ecuador,Equador,Ecuador,
2000152,에티오피아,Ethiopia,Ethiopia,Ethiopia,Etiópia,Etiopía,
2000153,엘살바도르,El Salvador,El Salvador,El Salvador,El Salvador,El Salvador,
2000154,영국,United Kingdom,Vương quốc Anh,United Kingdom,Reino Unido,Reino Unido,
2000155,영국령 버진아일랜드,British Virgin Islands,Quần đảo Virgin thuộc Anh,Kepulauan Virgin British,Ilhas Virgens Britânicas,Islas Vírgenes Británicas,
2000156,영국령 인도양 지역,British Indian Ocean Territory,Lãnh thổ Ấn Độ Dương thuộc Anh,Wilayah Lautan Hindi British,Território Britânico do Oceano Índico,Territorio Británico del Océano Índico,
2000157,예멘,Yemen,Yemen,Yaman,Iêmen,Yemen,
2000158,오만,Oman,Oman,Oman,Omã,Omán,
2000159,오스트레일리아,Australia,Úc,Australia,Austrália,Australia,
2000160,오스트리아,Austria,Áo,Austria,Áustria,Austria,
2000161,온두라스,Honduras,Honduras,Honduras,Honduras,Honduras,
2000162,올란드 제도,Aland Islands,Quần đảo Åland,Kepulauan Åland,Ilhas Åland,Islas Åland,
2000163,왈리스 푸투나,Wallis and Futuna,Wallis và Futuna,Wallis dan Futuna,Wallis e Futuna,Wallis y Futuna,
2000164,요르단,Jordan,Jordan,Jordan,Jordânia,Jordania,
2000165,우간다,Uganda,Uganda,Uganda,Uganda,Uganda,
2000166,우루과이,Uruguay,Uruguay,Uruguay,Uruguai,Uruguay,
2000167,우즈베키스탄,Uzbekistan,Uzbekistan,Uzbekistan,Uzbequistão,Uzbekistán,
2000168,우크라이나,Ukraine,Ukraina,Ukraine,Ucrânia,Ucrania,
2000169,이라크,Iraq,Iraq,Iraq,Iraque,Irak,
2000170,이란,Iran,Iran,Iran,Irã,Irán,
2000171,이스라엘,Israel,Israel,Israel,Israel,Israel,
2000172,이집트,Egypt,Ai Cập,Mesir,Egito,Egipto,
2000173,이탈리아,Italy,Ý,Itali,Itália,Italia,
2000174,인도,India,Ấn Độ,India,Índia,India,
2000175,인도네시아,Indonesia,Indonesia,Indonesia,Indonésia,Indonesia,
2000176,일본,Japan,Nhật Bản,Jepun,Japão,Japón,
2000177,자메이카,Jamaica,Jamaica,Jamaica,Jamaica,Jamaica,
2000178,잠비아,Zambia,Zambia,Zambia,Zâmbia,Zambia,
2000179,저지섬,Jersey,Jersey,Jersi,Jersey,Jersey,
2000180,적도 기니,Equatorial Guinea,Guinea Xích Đạo,Guinea Khatulistiwa,Guiné Equatorial,Guinea Ecuatorial,
2000181,조선민주주의인민공화국,North Korea,Cộng hòa Dân chủ Nhân dân Triều Tiên,Republik Rakyat Demokratik Korea,República Popular Democrática da Coreia,República Popular Democrática de Corea,
2000182,조지아,Georgia,Gruzia,Georgia,Geórgia,Georgia,
2000183,중국,China,Cộng hòa Nhân dân Trung Hoa,Republik Rakyat China,República Popular da China,República Popular China,
2000184,중앙아프리카 공화국,Central African Republic,Cộng hòa Trung Phi,Republik Afrika Tengah,República Centro-Africana,República Centroafricana,
2000185,중화민국,Taiwan,Cộng hòa,Republik,República,República,
2000186,지부티,Djibouti,Djibouti,Djibouti,Djibuti,Yibuti,
2000187,지브롤터,Gibraltar,Gibraltar,Gibraltar,Gibraltar,Gibraltar,
2000188,짐바브웨,Zimbabwe,Zimbabwe,Zimbabwe,Zimbábue,Zimbabue,
2000189,차드,Chad,Tchad,Chad,Chade,Chad,
2000190,체코,Czech Republic,Cộng hòa Séc,Republik Czech,República Tcheca,República Checa,
2000191,칠레,Chile,Chile,Chile,Chile,Chile,
2000192,카메룬,Cameroon,Cameroon,Cameroon,Camarões,Camerún,
2000193,카보베르데,Cabo Verde,Cabo Verde,Tanjung Verde,Cabo Verde,Cabo Verde,
2000194,카자흐스탄,Kazakhstan,Kazakhstan,Kazakhstan,Cazaquistão,Kazajstán,
2000195,카타르,Qatar,Qatar,Qatar,Catar,Qatar,
2000196,캄보디아,Cambodia,Campuchia,Kemboja,Camboja,Camboya,
2000197,캐나다,Canada,Canada,Kanada,Canadá,Canadá,
2000198,케냐,Kenya,Kenya,Kenya,Quênia,Kenia,
2000199,케이맨 제도,Cayman Islands,Quần đảo Cayman,Kepulauan Cayman,Ilhas Cayman,Islas Caimán,
2000200,코모로,Comoros,Comoros,Comoros,Comores,Comoras,
2000201,코스타리카,Costa Rica,Costa Rica,Costa Rica,Costa Rica,Costa Rica,
2000202,코코스 제도,Cocos Islands,Quần đảo Cocos,Kepulauan Cocos,Ilhas Cocos,Islas del Coco,
2000203,코트디부아르,Cote d'Ivoire,Bờ Biển Ngà,Pantai Gading,Costa do Marfim,Costa de Marfil,
2000204,콜롬비아,Colombia,Colombia,Colombia,Colômbia,Colombia,
2000205,콩고 공화국,Congo,Cộng hòa Congo,Republik Congo,República do Congo,República del Congo,
2000206,콩고 민주 공화국,Democratic Republic of Congo,Cộng hòa Dân chủ Congo,Republik Demokratik Congo,República Democrática do Congo,República Democrática del Congo,
2000207,쿠바,Cuba,Cuba,Cuba,Cuba,Cuba,
2000208,쿠웨이트,Kuwait,Kuwait,Kuwait,Kuaite,Kuwait,
2000209,쿡 제도,Cook Islands,Quần đảo Cook,Kepulauan Cook,Ilhas Cook,Islas Cook,
2000210,퀴라소,Curacao,Curacao,Curacao,Curaçau,Curacao,
2000211,크로아티아,Croatia,Croatia,Croatia,Croácia,Croacia,
2000212,크리스마스섬,Christmas Island,Đảo Giáng sinh,Pulau Krismas,Ilha Christmas,Isla de Navidad,
2000213,키르기스스탄,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,Quirguistão,Kirguizistán,
2000214,키리바시,Kiribati,Kiribati,Kiribati,Kiribati,Kiribati,
2000215,키프로스,Cyprus,Síp,Cyprus,Chipre,Chipre,
2000216,타지키스탄,Tajikistan,Tajikistan,Tajikistan,Tajiquistão,Tayikistán,
2000217,탄자니아,Tanzania,Tanzania,Tanzania,Tanzânia,Tanzania,
2000218,태국,Thailand,Thái Lan,Thailand,Tailândia,Tailandia,
2000219,터크스 케이커스 제도,Turks and Caicos Islands,Quần đảo Turks và Caicos,Kepulauan Turks dan Caicos,Ilhas Turcas e Caicos,Islas Turcas y Caicos,
2000220,튀르키예,Türkiye,Türkiye,Turki,Türkiye,Turquía,
2000221,토고,Togo,Togo,Togo,Togo,Togo,
2000222,토켈라우,Tokelau,Tokelau,Tokelau,Tokelau,Tokelau,
2000223,통가,Tonga,Tonga,Tonga,Tonga,Tonga,
2000224,투르크메니스탄,Turkmenistan,Turkmenistan,Turkmenistan,Turquemenistão,Turkmenistán,
2000225,투발루,Tuvalu,Tuvalu,Tuvalu,Tuvalu,Tuvalu,
2000226,튀니지,Tunisia,Tunisia,Tunisia,Tunísia,Túnez,
2000227,트리니다드 토바고,Trinidad and Tobago,Trinidad và Tobago,Trinidad dan Tobago,Trinidad e Tobago,Trinidad y Tobago,
2000228,파나마,Panama,Panama,Panama,Panamá,Panamá,
2000229,파라과이,Paraguay,Paraguay,Paraguay,Paraguai,Paraguay,
2000230,파키스탄,Pakistan,Cộng hòa Hồi giáo Pakistan,Republik Islam Pakistan,República Islâmica do Paquistão,República Islámica de Pakistán,
2000231,파푸아뉴기니,Papua New Guinea,Papua New Guinea,Papua New Guinea,Papua-Nova Guiné,Papúa Nueva Guinea,
2000232,팔라우,Palau,Palau,Palau,Palau,Palau,
2000233,팔레스타인,Palestine,Palestine,Palestin,Palestina,Palestina,
2000234,페로 제도,Faroe Islands,Quần đảo Faroe,Kepulauan Faroe,Ilhas Faroés,Islas Faroe,
2000235,페루,Peru,Peru,Peru,Peru,Perú,
2000236,포르투갈,Portugal,Bồ Đào Nha,Portugal,Portugal,Portugal,
2000237,포클랜드 제도,Falkland Islands,Quần đảo Falkland,Kepulauan Falkland,Ilhas Falkland,Islas Malvinas,
2000238,폴란드,Poland,Ba Lan,Poland,Polônia,Polonia,
2000239,푸에르토리코,Puerto Rico,Puerto Rico,Puerto Rico,Porto Rico,Puerto Rico,
2000240,프랑스,France,Pháp,Perancis,França,Francia,
2000241,프랑스령 기아나,French Guiana,Guyane,Guiana Perancis,Guiana Francesa,Guayana Francesa,
2000242,프랑스령 남방 및 남극 지역,French Southern Territories,Lãnh thổ phía Nam và Nam Cực thuộc Pháp,Wilayah Selatan dan Antartika Perancis,Territórios Austrais e Antárticos Franceses,Territorios Australes y Antárticos Franceses,
2000243,프랑스령 폴리네시아,French Polynesia,Polynésie thuộc Pháp,Polinesia Perancis,Polinésia Francesa,Polinesia Francesa,
2000244,피지,Fiji,Fiji,Fiji,Fiji,Fiji,
2000245,핀란드,Finland,Phần Lan,Finland,Finlândia,Finlandia,
2000246,필리핀,Philippines,Cộng hòa Philippines,Republik Filipina,República das Filipinas,República de Filipinas,
2000247,핏케언 제도,Pitcairn Islands,Quần đảo Pitcairn,Kepulauan Pitcairn,Ilhas Pitcairn,Islas Pitcairn,
2000248,허드 맥도널드 제도,Heard Island and McDonald Islands,Nghe nói Quần đảo McDonald,Kepulauan Heard McDonald,Ilhas McDonald ouvidas,Islas McDonald Heard,
2000249,헝가리,Hungary,Hungary,Hungary,Hungria,Hungría,
2000250,홍콩,Hong Kong,Hồng Kông,Hong Kong,Hong Kong,Hong Kong,
3000000,빨강색 포션,Red potion,Thuốc đỏ,Ramuan Merah,Poção Vermelha,Poción Roja,포션 아이템 이름
